,attr,sinc,intel,fun,amb,shar,gender,match
0,6.0,9.0,7.0,7.0,6.0,5.0,0,0
1,7.0,8.0,7.0,8.0,5.0,6.0,0,0
2,5.0,8.0,9.0,8.0,5.0,7.0,0,1
3,7.0,6.0,8.0,7.0,6.0,8.0,0,1
4,5.0,6.0,7.0,7.0,6.0,6.0,0,1
5,4.0,9.0,7.0,4.0,6.0,4.0,0,0
6,7.0,6.0,7.0,4.0,6.0,7.0,0,0
7,4.0,9.0,7.0,6.0,5.0,6.0,0,0
8,7.0,6.0,8.0,9.0,8.0,8.0,0,1
9,5.0,6.0,6.0,8.0,10.0,8.0,0,0
10,5.0,7.0,8.0,4.0,6.0,3.0,0,0
11,8.0,5.0,6.0,6.0,9.0,6.0,0,0
12,5.0,8.0,9.0,6.0,3.0,4.0,0,0
13,7.0,9.0,7.0,6.0,5.0,7.0,0,1
14,6.0,8.0,7.0,9.0,7.0,8.0,0,0
15,8.0,7.0,8.0,3.0,6.0,2.0,0,0
16,7.0,5.0,9.0,6.0,7.0,9.0,0,0
17,5.0,8.0,7.0,5.0,9.0,5.0,0,0
18,7.0,6.0,8.0,9.0,4.0,5.0,0,1
19,6.0,7.0,8.0,7.0,9.0,8.0,0,0
20,7.0,9.0,10.0,7.0,8.0,9.0,0,0
21,9.0,7.0,9.0,8.0,9.0,7.0,0,0
22,7.0,9.0,9.0,7.0,9.0,7.0,0,0
23,9.0,7.0,9.0,7.0,9.0,7.0,0,0
24,9.0,10.0,10.0,10.0,10.0,10.0,0,0
25,8.0,10.0,10.0,7.0,9.0,9.0,0,0
26,8.0,9.0,10.0,7.0,7.0,9.0,0,0
27,7.0,9.0,9.0,8.0,9.0,7.0,0,0
28,9.0,9.0,9.0,9.0,9.0,9.0,0,0
29,8.0,7.0,9.0,7.0,9.0,7.0,0,0
30,4.0,10.0,8.0,5.0,8.0,7.0,0,0
31,8.0,7.0,8.0,10.0,7.0,8.0,0,0
32,4.0,7.0,8.0,8.0,6.0,7.0,0,0
33,8.0,10.0,7.0,10.0,7.0,10.0,0,1
34,6.0,9.0,8.0,9.0,8.0,9.0,0,0
35,5.0,10.0,8.0,4.0,8.0,2.0,0,0
36,7.0,10.0,10.0,7.0,10.0,5.0,0,0
37,5.0,9.0,9.0,5.0,9.0,7.0,0,0
38,9.0,8.0,10.0,10.0,7.0,8.0,0,1
39,8.0,9.0,10.0,10.0,8.0,8.0,0,0
40,5.0,8.0,8.0,2.0,2.0,2.0,0,0
41,8.0,6.0,6.0,5.0,5.0,5.0,0,0
42,4.0,6.0,8.0,8.0,6.0,5.0,0,0
43,8.0,5.0,5.0,7.0,7.0,9.0,0,1
44,6.0,7.0,7.0,5.0,4.0,8.0,0,0
45,5.0,6.0,7.0,5.0,7.0,8.0,0,0
46,6.0,6.0,8.0,5.0,5.0,6.0,0,0
47,5.0,5.0,7.0,6.0,7.0,5.0,0,0
48,7.0,5.0,7.0,8.0,7.0,9.0,0,1
49,9.0,6.0,7.0,9.0,6.0,5.0,0,0
50,6.0,9.0,7.0,6.0,7.0,6.0,0,0
51,6.0,9.0,9.0,6.0,8.0,2.0,0,0
52,4.0,7.0,9.0,4.0,3.0,2.0,0,0
53,8.0,6.0,7.0,8.0,2.0,8.0,0,1
54,5.0,4.0,8.0,8.0,4.0,2.0,0,0
55,3.0,7.0,6.0,1.0,1.0,1.0,0,0
56,8.0,8.0,8.0,8.0,3.0,4.0,0,0
57,4.0,8.0,9.0,2.0,8.0,3.0,0,0
58,7.0,6.0,8.0,8.0,6.0,9.0,0,1
59,8.0,9.0,9.0,9.0,10.0,7.0,0,0
60,4.0,8.0,8.0,5.0,7.0,4.0,0,0
