,attr,sinc,intel,fun,amb,shar,gender,match
100,6.0,8.0,8.0,8.0,8.0,6.0,1,0
101,8.0,7.0,6.0,9.0,7.0,4.0,1,0
102,7.0,8.0,6.0,5.0,8.0,4.0,1,0
103,6.0,7.0,8.0,7.0,7.0,5.0,1,0
104,6.0,8.0,8.0,8.0,7.0,6.0,1,0
105,7.0,9.0,8.0,9.0,8.0,4.0,1,0
106,7.0,8.0,8.0,8.0,7.0,7.0,1,0
107,8.0,7.0,6.0,6.0,6.0,5.0,1,0
108,6.0,8.0,7.0,8.0,7.0,5.0,1,0
109,7.0,8.0,7.0,8.0,6.0,5.0,1,0
110,7.0,8.0,10.0,7.0,7.0,5.0,1,0
111,7.0,6.0,10.0,6.0,6.0,5.0,1,0
112,6.0,7.0,10.0,6.0,6.0,5.0,1,0
113,6.0,5.0,10.0,6.0,6.0,5.0,1,0
114,6.0,7.0,10.0,7.0,6.0,5.0,1,0
115,6.0,8.0,10.0,6.0,7.0,6.0,1,0
116,7.0,9.0,10.0,6.0,6.0,5.0,1,0
117,8.0,8.0,10.0,7.0,6.0,5.0,1,1
118,8.0,8.0,10.0,7.0,6.0,5.0,1,1
119,1.0,1.0,1.0,1.0,1.0,1.0,1,0
120,10.0,10.0,10.0,10.0,10.0,10.0,1,1
121,10.0,10.0,10.0,10.0,10.0,10.0,1,0
122,10.0,10.0,10.0,10.0,10.0,10.0,1,0
123,10.0,10.0,10.0,10.0,10.0,10.0,1,0
124,10.0,10.0,10.0,10.0,10.0,10.0,1,0
125,10.0,10.0,10.0,10.0,10.0,10.0,1,0
126,10.0,10.0,10.0,10.0,10.0,10.0,1,0
127,10.0,10.0,10.0,10.0,10.0,10.0,1,1
128,10.0,10.0,10.0,10.0,10.0,10.0,1,1
129,10.0,10.0,10.0,10.0,10.0,10.0,1,1
130,7.0,8.0,9.0,8.0,9.0,8.0,1,1
131,9.0,9.0,9.0,9.0,9.0,9.0,1,1
132,7.0,9.0,8.0,8.0,8.0,8.0,1,0
133,7.0,7.0,7.0,9.0,9.0,9.0,1,1
134,6.0,8.0,6.0,8.0,10.0,10.0,1,1
135,6.0,8.0,8.0,7.0,9.0,8.0,1,1
136,8.0,8.0,9.0,8.0,9.0,9.0,1,1
137,8.0,8.0,8.0,8.0,8.0,7.0,1,1
138,7.0,8.0,7.0,8.0,8.0,7.0,1,1
139,7.0,8.0,7.0,9.0,8.0,8.0,1,0
140,8.0,7.0,9.0,6.0,9.0,7.0,1,1
141,10.0,10.0,10.0,10.0,7.0,8.0,1,0
142,6.0,10.0,8.0,6.0,,,1,0
143,8.0,8.0,9.0,8.0,8.0,9.0,1,0
144,5.0,9.0,9.0,7.0,9.0,5.0,1,0
145,9.0,7.0,9.0,7.0,9.0,6.0,1,0
146,8.0,7.0,9.0,6.0,9.0,5.0,1,0
147,9.0,9.0,8.0,9.0,,7.0,1,1
148,7.0,9.0,8.0,9.0,7.0,7.0,1,1
149,6.0,9.0,9.0,7.0,8.0,,1,0
150,7.0,7.0,8.0,8.0,7.0,7.0,1,0
151,7.0,8.0,7.0,5.0,7.0,7.0,1,0
152,7.0,6.0,6.0,6.0,6.0,6.0,1,0
153,6.0,6.0,7.0,7.0,8.0,7.0,1,0
154,5.0,8.0,7.0,7.0,7.0,7.0,1,0
155,6.0,6.0,8.0,8.0,8.0,7.0,1,0
156,8.0,8.0,8.0,6.0,6.0,6.0,1,0
157,8.0,7.0,7.0,7.0,8.0,7.0,1,1
158,6.0,6.0,7.0,8.0,7.0,7.0,1,1
159,,8.0,7.0,7.0,7.0,7.0,1,0
160,3.0,6.0,7.0,5.0,8.0,7.0,1,0
161,5.0,3.0,4.0,3.0,5.0,3.0,1,0
162,6.0,3.0,5.0,4.0,5.0,4.0,1,0
163,7.0,6.0,3.0,5.0,6.0,5.0,1,0
164,2.0,3.0,4.0,4.0,5.0,3.0,1,0
165,5.0,6.0,8.0,4.0,5.0,4.0,1,0
166,7.0,6.0,5.0,4.0,4.0,3.0,1,0
167,6.0,4.0,7.0,5.0,6.0,4.0,1,0
168,8.0,6.0,7.0,8.0,6.0,5.0,1,1
169,7.0,7.0,4.0,3.0,4.0,4.0,1,0
170,6.0,7.0,5.0,6.0,8.0,6.0,1,0
171,7.0,7.0,7.0,7.0,7.0,5.0,1,0
172,4.0,5.0,6.0,4.0,6.0,4.0,1,0
173,6.0,7.0,8.0,6.0,6.0,5.0,1,0
174,5.0,5.0,6.0,5.0,5.0,5.0,1,0
175,6.0,7.0,8.0,7.0,8.0,5.0,1,0
176,8.0,7.0,6.0,7.0,7.0,5.0,1,0
177,9.0,8.0,8.0,8.0,7.0,5.0,1,1
178,7.0,7.0,7.0,7.0,6.0,5.0,1,0
