,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,gender,match
0,15.0,20.0,20.0,15.0,15.0,15.0,0,0
1,15.0,20.0,20.0,15.0,15.0,15.0,0,0
2,15.0,20.0,20.0,15.0,15.0,15.0,0,1
3,15.0,20.0,20.0,15.0,15.0,15.0,0,1
4,15.0,20.0,20.0,15.0,15.0,15.0,0,1
5,15.0,20.0,20.0,15.0,15.0,15.0,0,0
6,15.0,20.0,20.0,15.0,15.0,15.0,0,0
7,15.0,20.0,20.0,15.0,15.0,15.0,0,0
8,15.0,20.0,20.0,15.0,15.0,15.0,0,1
9,15.0,20.0,20.0,15.0,15.0,15.0,0,0
10,45.0,5.0,25.0,20.0,0.0,5.0,0,0
11,45.0,5.0,25.0,20.0,0.0,5.0,0,0
12,45.0,5.0,25.0,20.0,0.0,5.0,0,0
13,45.0,5.0,25.0,20.0,0.0,5.0,0,1
14,45.0,5.0,25.0,20.0,0.0,5.0,0,0
15,45.0,5.0,25.0,20.0,0.0,5.0,0,0
16,45.0,5.0,25.0,20.0,0.0,5.0,0,0
17,45.0,5.0,25.0,20.0,0.0,5.0,0,0
18,45.0,5.0,25.0,20.0,0.0,5.0,0,1
19,45.0,5.0,25.0,20.0,0.0,5.0,0,0
20,35.0,10.0,35.0,10.0,10.0,0.0,0,0
21,35.0,10.0,35.0,10.0,10.0,0.0,0,0
22,35.0,10.0,35.0,10.0,10.0,0.0,0,0
23,35.0,10.0,35.0,10.0,10.0,0.0,0,0
24,35.0,10.0,35.0,10.0,10.0,0.0,0,0
25,35.0,10.0,35.0,10.0,10.0,0.0,0,0
26,35.0,10.0,35.0,10.0,10.0,0.0,0,0
27,35.0,10.0,35.0,10.0,10.0,0.0,0,0
28,35.0,10.0,35.0,10.0,10.0,0.0,0,0
29,35.0,10.0,35.0,10.0,10.0,0.0,0,0
30,20.0,20.0,20.0,20.0,10.0,10.0,0,0
31,20.0,20.0,20.0,20.0,10.0,10.0,0,0
32,20.0,20.0,20.0,20.0,10.0,10.0,0,0
33,20.0,20.0,20.0,20.0,10.0,10.0,0,1
34,20.0,20.0,20.0,20.0,10.0,10.0,0,0
35,20.0,20.0,20.0,20.0,10.0,10.0,0,0
36,20.0,20.0,20.0,20.0,10.0,10.0,0,0
37,20.0,20.0,20.0,20.0,10.0,10.0,0,0
38,20.0,20.0,20.0,20.0,10.0,10.0,0,1
39,20.0,20.0,20.0,20.0,10.0,10.0,0,0
40,20.0,5.0,25.0,25.0,10.0,15.0,0,0
41,20.0,5.0,25.0,25.0,10.0,15.0,0,0
42,20.0,5.0,25.0,25.0,10.0,15.0,0,0
43,20.0,5.0,25.0,25.0,10.0,15.0,0,1
44,20.0,5.0,25.0,25.0,10.0,15.0,0,0
45,20.0,5.0,25.0,25.0,10.0,15.0,0,0
46,20.0,5.0,25.0,25.0,10.0,15.0,0,0
47,20.0,5.0,25.0,25.0,10.0,15.0,0,0
48,20.0,5.0,25.0,25.0,10.0,15.0,0,1
49,20.0,5.0,25.0,25.0,10.0,15.0,0,0
50,10.0,25.0,20.0,25.0,5.0,15.0,0,0
51,10.0,25.0,20.0,25.0,5.0,15.0,0,0
52,10.0,25.0,20.0,25.0,5.0,15.0,0,0
53,10.0,25.0,20.0,25.0,5.0,15.0,0,1
54,10.0,25.0,20.0,25.0,5.0,15.0,0,0
55,10.0,25.0,20.0,25.0,5.0,15.0,0,0
56,10.0,25.0,20.0,25.0,5.0,15.0,0,0
57,10.0,25.0,20.0,25.0,5.0,15.0,0,0
58,10.0,25.0,20.0,25.0,5.0,15.0,0,1
59,10.0,25.0,20.0,25.0,5.0,15.0,0,0
60,15.0,15.0,25.0,20.0,15.0,10.0,0,0
61,15.0,15.0,25.0,20.0,15.0,10.0,0,0
62,15.0,15.0,25.0,20.0,15.0,10.0,0,0
63,15.0,15.0,25.0,20.0,15.0,10.0,0,1
64,15.0,15.0,25.0,20.0,15.0,10.0,0,0
65,15.0,15.0,25.0,20.0,15.0,10.0,0,0
66,15.0,15.0,25.0,20.0,15.0,10.0,0,0
67,15.0,15.0,25.0,20.0,15.0,10.0,0,0
68,15.0,15.0,25.0,20.0,15.0,10.0,0,1
69,15.0,15.0,25.0,20.0,15.0,10.0,0,0
70,9.09,18.18,27.27,18.18,18.18,9.09,0,0
71,9.09,18.18,27.27,18.18,18.18,9.09,0,1
72,9.09,18.18,27.27,18.18,18.18,9.09,0,1
73,9.09,18.18,27.27,18.18,18.18,9.09,0,1
74,9.09,18.18,27.27,18.18,18.18,9.09,0,1
75,9.09,18.18,27.27,18.18,18.18,9.09,0,1
76,9.09,18.18,27.27,18.18,18.18,9.09,0,0
77,9.09,18.18,27.27,18.18,18.18,9.09,0,1
78,9.09,18.18,27.27,18.18,18.18,9.09,0,1
79,9.09,18.18,27.27,18.18,18.18,9.09,0,1
80,20.0,10.0,20.0,30.0,10.0,10.0,0,0
81,20.0,10.0,20.0,30.0,10.0,10.0,0,1
82,20.0,10.0,20.0,30.0,10.0,10.0,0,1
83,20.0,10.0,20.0,30.0,10.0,10.0,0,1
84,20.0,10.0,20.0,30.0,10.0,10.0,0,1
85,20.0,10.0,20.0,30.0,10.0,10.0,0,1
86,20.0,10.0,20.0,30.0,10.0,10.0,0,1
87,20.0,10.0,20.0,30.0,10.0,10.0,0,0
88,20.0,10.0,20.0,30.0,10.0,10.0,0,1
89,20.0,10.0,20.0,30.0,10.0,10.0,0,0
90,15.0,15.0,15.0,40.0,10.0,5.0,0,0
91,15.0,15.0,15.0,40.0,10.0,5.0,0,0
92,15.0,15.0,15.0,40.0,10.0,5.0,0,1
93,15.0,15.0,15.0,40.0,10.0,5.0,0,0
94,15.0,15.0,15.0,40.0,10.0,5.0,0,0
95,15.0,15.0,15.0,40.0,10.0,5.0,0,0
96,15.0,15.0,15.0,40.0,10.0,5.0,0,0
97,15.0,15.0,15.0,40.0,10.0,5.0,0,0
98,15.0,15.0,15.0,40.0,10.0,5.0,0,1
99,15.0,15.0,15.0,40.0,10.0,5.0,0,0
200,12.0,18.0,20.0,16.0,16.0,18.0,0,0
201,12.0,18.0,20.0,16.0,16.0,18.0,0,0
202,12.0,18.0,20.0,16.0,16.0,18.0,0,0
203,12.0,18.0,20.0,16.0,16.0,18.0,0,0
204,12.0,18.0,20.0,16.0,16.0,18.0,0,0
205,12.0,18.0,20.0,16.0,16.0,18.0,0,0
206,12.0,18.0,20.0,16.0,16.0,18.0,0,0
207,12.0,18.0,20.0,16.0,16.0,18.0,0,0
208,12.0,18.0,20.0,16.0,16.0,18.0,0,0
209,12.0,18.0,20.0,16.0,16.0,18.0,0,0
210,12.0,18.0,20.0,16.0,16.0,18.0,0,0
211,12.0,18.0,20.0,16.0,16.0,18.0,0,0
