,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,gender,match
100,35.0,20.0,20.0,20.0,0.0,5.0,1,0
101,35.0,20.0,20.0,20.0,0.0,5.0,1,0
102,35.0,20.0,20.0,20.0,0.0,5.0,1,0
103,35.0,20.0,20.0,20.0,0.0,5.0,1,0
104,35.0,20.0,20.0,20.0,0.0,5.0,1,0
105,35.0,20.0,20.0,20.0,0.0,5.0,1,0
106,35.0,20.0,20.0,20.0,0.0,5.0,1,0
107,35.0,20.0,20.0,20.0,0.0,5.0,1,0
108,35.0,20.0,20.0,20.0,0.0,5.0,1,0
109,35.0,20.0,20.0,20.0,0.0,5.0,1,0
110,60.0,0.0,0.0,40.0,0.0,0.0,1,0
111,60.0,0.0,0.0,40.0,0.0,0.0,1,0
112,60.0,0.0,0.0,40.0,0.0,0.0,1,0
113,60.0,0.0,0.0,40.0,0.0,0.0,1,0
114,60.0,0.0,0.0,40.0,0.0,0.0,1,0
115,60.0,0.0,0.0,40.0,0.0,0.0,1,0
116,60.0,0.0,0.0,40.0,0.0,0.0,1,0
117,60.0,0.0,0.0,40.0,0.0,0.0,1,1
118,60.0,0.0,0.0,40.0,0.0,0.0,1,1
119,60.0,0.0,0.0,40.0,0.0,0.0,1,0
120,19.0,18.0,19.0,18.0,14.0,12.0,1,1
121,19.0,18.0,19.0,18.0,14.0,12.0,1,0
122,19.0,18.0,19.0,18.0,14.0,12.0,1,0
123,19.0,18.0,19.0,18.0,14.0,12.0,1,0
124,19.0,18.0,19.0,18.0,14.0,12.0,1,0
125,19.0,18.0,19.0,18.0,14.0,12.0,1,0
126,19.0,18.0,19.0,18.0,14.0,12.0,1,0
127,19.0,18.0,19.0,18.0,14.0,12.0,1,1
128,19.0,18.0,19.0,18.0,14.0,12.0,1,1
129,19.0,18.0,19.0,18.0,14.0,12.0,1,1
130,30.0,5.0,15.0,40.0,5.0,5.0,1,1
131,30.0,5.0,15.0,40.0,5.0,5.0,1,1
132,30.0,5.0,15.0,40.0,5.0,5.0,1,0
133,30.0,5.0,15.0,40.0,5.0,5.0,1,1
134,30.0,5.0,15.0,40.0,5.0,5.0,1,1
135,30.0,5.0,15.0,40.0,5.0,5.0,1,1
136,30.0,5.0,15.0,40.0,5.0,5.0,1,1
137,30.0,5.0,15.0,40.0,5.0,5.0,1,1
138,30.0,5.0,15.0,40.0,5.0,5.0,1,1
139,30.0,5.0,15.0,40.0,5.0,5.0,1,0
140,30.0,10.0,20.0,10.0,10.0,20.0,1,1
141,30.0,10.0,20.0,10.0,10.0,20.0,1,0
142,30.0,10.0,20.0,10.0,10.0,20.0,1,0
143,30.0,10.0,20.0,10.0,10.0,20.0,1,0
144,30.0,10.0,20.0,10.0,10.0,20.0,1,0
145,30.0,10.0,20.0,10.0,10.0,20.0,1,0
146,30.0,10.0,20.0,10.0,10.0,20.0,1,0
147,30.0,10.0,20.0,10.0,10.0,20.0,1,1
148,30.0,10.0,20.0,10.0,10.0,20.0,1,1
149,30.0,10.0,20.0,10.0,10.0,20.0,1,0
150,50.0,0.0,30.0,10.0,0.0,10.0,1,0
151,50.0,0.0,30.0,10.0,0.0,10.0,1,0
152,50.0,0.0,30.0,10.0,0.0,10.0,1,0
153,50.0,0.0,30.0,10.0,0.0,10.0,1,0
154,50.0,0.0,30.0,10.0,0.0,10.0,1,0
155,50.0,0.0,30.0,10.0,0.0,10.0,1,0
156,50.0,0.0,30.0,10.0,0.0,10.0,1,0
157,50.0,0.0,30.0,10.0,0.0,10.0,1,1
158,50.0,0.0,30.0,10.0,0.0,10.0,1,1
159,50.0,0.0,30.0,10.0,0.0,10.0,1,0
160,35.0,15.0,25.0,10.0,5.0,10.0,1,0
161,35.0,15.0,25.0,10.0,5.0,10.0,1,0
162,35.0,15.0,25.0,10.0,5.0,10.0,1,0
163,35.0,15.0,25.0,10.0,5.0,10.0,1,0
164,35.0,15.0,25.0,10.0,5.0,10.0,1,0
165,35.0,15.0,25.0,10.0,5.0,10.0,1,0
166,35.0,15.0,25.0,10.0,5.0,10.0,1,0
