SameField,SameRegion,SameRace,SharedInterest,match
0,0,0,0.635034287331836,0
1,0,0,0.7772574213393122,0
1,1,1,0.656621465338636,1
1,1,0,0.8303139842963525,1
1,1,0,0.6696015834480771,1
0,0,0,0.6894694297353823,0
1,1,0,0.7035470405040076,0
0,1,0,0.7787575245134772,0
0,1,0,0.5844471464840342,1
0,1,0,0.3005903172940536,0
0,0,1,0.7130032168075646,0
1,0,1,0.614369972186097,0
1,1,0,0.654713186938819,0
1,1,1,0.524744407449058,1
1,1,0,0.7311005968744049,0
0,0,1,0.8881594770615824,0
1,1,1,0.8236498448377682,0
0,1,1,0.6070885930456081,0
0,1,1,0.49354714926068205,1
0,1,1,0.6294961584391794,0
0,0,1,0.37146969578856404,0
0,0,1,0.4214485306984087,0
0,1,0,0.508378188798587,0
0,1,1,0.45822118851039,0
0,1,0,0.41580953422214384,0
0,0,1,0.3517535842271964,0
0,1,1,0.36252361717508685,0
0,1,1,0.612378557937888,0
0,1,1,0.4419701731821462,0
0,1,1,0.28120656351578155,0
0,0,1,0.3700423683888244,0
1,0,1,0.39791091762139386,0
1,1,0,0.45862573460676503,0
1,1,1,0.36857945795824326,1
1,1,0,0.5263944463545215,0
0,0,1,0.5819503505840677,0
1,1,1,0.6261916997074539,0
0,1,1,0.5287535077660285,0
0,1,1,0.3045470898435315,1
0,1,1,0.4310335550907836,0
0,0,1,0.46774919205383353,0
1,0,1,0.5412120793508813,0
1,1,0,0.5952384808012214,0
1,1,1,0.6656145253392025,1
1,1,0,0.5868186380905637,0
0,0,1,0.67387654579733,0
1,1,1,0.5663965412243025,0
0,1,1,0.6278152646938822,0
0,1,1,0.37565125488996765,1
0,1,1,0.4168187547437162,0
0,0,0,0.7338631850844051,0
1,0,0,0.7007112054523896,0
1,1,1,0.43815589801777005,0
1,1,0,0.6571449495839192,1
1,1,0,0.7479597021039678,0
0,0,0,0.694707977986151,0
1,1,0,0.7715845858479864,0
0,1,0,0.5959797244446858,0
0,1,0,0.644579211368403,1
0,1,0,0.644271281384704,0
0,0,0,0.5324440110145785,0
1,0,0,0.587244085383747,0
1,1,1,0.6476069871997623,0
1,1,0,0.25644761327236765,1
1,1,0,0.3336998032174968,0
0,0,0,0.6733868189198879,0
1,1,0,0.6137961116300581,0
0,1,0,0.49802499645008225,0
0,1,0,0.36342676198817225,1
0,1,0,0.44698063434540064,0
0,0,1,0.4968802595516084,0
1,1,1,0.45072085476016793,1
1,0,0,0.681893190998873,1
1,0,1,0.3392120083475108,1
1,0,0,0.41251586669206675,1
0,0,1,0.6251348417159076,1
1,0,1,0.5319558210142541,0
0,0,1,0.5867385333510736,1
0,0,1,0.27069625840427003,1
0,0,1,0.3937871130345181,1
0,0,0,0.6480815094177685,0
1,0,0,0.5390452431803516,1
1,1,0,0.8439039144018718,1
1,1,0,0.466342922220894,1
1,1,0,0.5718073994469428,1
0,0,0,0.7452224006990329,1
1,1,0,0.6381776793599638,1
0,1,0,0.5991596786957856,0
0,1,0,0.30180745530125996,1
0,1,0,0.36089512746523256,0
0,0,1,0.6233333333333333,0
1,0,1,0.817798703484226,0
1,1,0,0.4340911869989629,1
1,1,1,0.5653451595647491,0
1,1,0,0.5928246073047476,0
0,0,1,0.5512859806240442,0
1,1,1,0.6917387997331834,0
0,1,1,0.5277421531377022,0
0,1,1,0.7394251939125953,1
0,1,1,0.5425567802524409,0
0,1,1,0.4864005860701159,0
0,0,1,0.5072906804354693,0
1,1,1,0.7539703580401151,0
0,0,0,0.7567554841803751,0
0,0,0,0.2858684673822225,0
0,0,0,0.5961143076552025,0
0,0,0,0.5810780593142599,0
0,0,0,0.5534131201831914,0
0,0,0,0.5215936396989906,0
0,1,1,0.6183603251714426,0
0,1,0,0.6820975689166101,0
0,1,0,0.7547691262113658,0
0,1,0,0.8309641269086684,0
0,1,0,0.5308598003696627,0
0,1,0,0.436797618251475,0
0,1,0,0.7405848837969597,0
0,1,0,0.57979742012378,0
0,0,0,0.35601478034973366,0
0,1,0,0.6859328338392859,0
0,0,0,0.43890648756162437,0
1,0,0,0.4102524190531077,1
0,0,0,0.4438784792955599,1
0,0,0,0.35401623792218984,0
0,0,0,0.5699451088608457,0
0,0,0,0.8079355061647635,0
0,1,0,0.46666782602646856,0
0,1,1,0.5198861964784068,0
0,1,0,0.22906654757038475,0
